transaction_id,date,product_name,category,quantity,unit_price,cost_price,discount_percent,region,payment_method
TXN-0065,2026-01-05,Formal Shirt,Clothing,1,813.94,607.12,5,West,Net Banking
TXN-0063,2026-01-05,Cricket Bat,Sports & Fitness,3,4611.05,3804.93,5,North,Credit Card
TXN-0199,2026-01-05,Bedsheet Set,Home & Kitchen,1,1476.47,1033.42,0,North,Debit Card
TXN-0119,2026-01-05,Football,Sports & Fitness,2,2917.74,2063.38,20,South,UPI
TXN-0096,2026-01-05,Dumbbells 5kg,Sports & Fitness,1,3276.51,2102.91,0,West,Net Banking
TXN-0095,2026-01-05,Wall Clock,Home & Kitchen,1,2576.74,1962.84,10,South,Credit Card
TXN-0087,2026-01-05,Bedsheet Set,Home & Kitchen,2,2971.39,2089.76,0,North,UPI
TXN-0173,2026-01-05,Moisturizer,Beauty & Personal Care,5,877.87,604.0,0,West,UPI
TXN-0145,2026-01-05,Resistance Bands,Sports & Fitness,1,2273.76,1359.63,0,North,Net Banking
TXN-0053,2026-01-06,Denim Jeans,Clothing,2,3401.82,1849.2,15,North,Debit Card
TXN-0074,2026-01-06,Smart Watch,Electronics,1,13290.22,10988.72,0,North,Credit Card
TXN-0078,2026-01-06,Cricket Bat,Sports & Fitness,1,4252.32,2658.19,15,South,UPI
TXN-0083,2026-01-06,Portable Monitor,Electronics,1,2018.55,1571.2,25,South,Net Banking
TXN-0092,2026-01-06,Winter Jacket,Clothing,1,2047.76,1494.89,0,West,Debit Card
TXN-0155,2026-01-06,Cotton T-Shirt,Clothing,1,435.02,316.81,0,North,Debit Card
TXN-0006,2026-01-06,Wall Clock,Home & Kitchen,1,725.75,495.46,10,North,Credit Card
TXN-0214,2026-01-06,Webcam HD,Electronics,1,15449.1,13176.28,0,North,Cash
TXN-0202,2026-01-06,Webcam HD,Electronics,1,2153.69,1542.21,15,North,UPI
TXN-0019,2026-01-06,Wireless Earbuds,Electronics,1,10441.14,7686.87,0,North,Debit Card
TXN-0004,2026-01-07,Hair Serum,Beauty & Personal Care,1,665.32,236.77,15,North,UPI
TXN-0164,2026-01-07,Resistance Bands,Sports & Fitness,1,2134.65,1673.21,0,South,Cash
TXN-0213,2026-01-07,Sunscreen SPF50,Beauty & Personal Care,1,325.46,126.83,0,South,Credit Card
TXN-0013,2026-01-07,Mechanical Keyboard,Electronics,2,8024.63,6162.24,0,South,Cash
TXN-0015,2026-01-07,Power Bank 20000mAh,Electronics,2,14365.9,11124.63,15,West,UPI
TXN-0121,2026-01-07,Polo T-Shirt,Clothing,2,2656.39,1597.43,0,North,UPI
TXN-0067,2026-01-07,Cushion Covers,Home & Kitchen,1,2664.11,1526.27,0,East,Credit Card
TXN-0140,2026-01-08,Chopping Board,Home & Kitchen,1,1668.22,880.9,5,South,UPI
TXN-0222,2026-01-08,Self-Help Book,Books & Stationery,1,247.16,250.36,5,North,UPI
TXN-0010,2026-01-08,Hair Serum,Beauty & Personal Care,1,248.96,143.04,15,South,UPI
TXN-0104,2026-01-08,Power Bank 20000mAh,Electronics,3,7775.63,5983.56,0,South,Credit Card
TXN-0118,2026-01-08,Notebook Set,Books & Stationery,1,165.24,131.93,0,South,Net Banking
TXN-0191,2026-01-08,Bedsheet Set,Home & Kitchen,1,832.12,513.17,15,East,Credit Card
TXN-0054,2026-01-08,Bluetooth Speaker,Electronics,1,14355.83,12639.11,0,South,Credit Card
TXN-0034,2026-01-08,Lip Balm Set,Beauty & Personal Care,2,259.15,180.93,0,East,Cash
TXN-0089,2026-01-08,Pen Set Premium,Books & Stationery,2,243.99,260.28,5,West,Cash
TXN-0211,2026-01-09,Cricket Bat,Sports & Fitness,1,3535.17,1961.65,0,West,UPI
TXN-0112,2026-01-09,Denim Jeans,Clothing,2,1524.48,1127.71,0,South,UPI
TXN-0016,2026-01-09,Non-Stick Pan,Home & Kitchen,1,2498.54,1353.66,0,South,Debit Card
TXN-0180,2026-01-09,Cotton T-Shirt,Clothing,2,1660.41,811.57,5,North,Debit Card
TXN-0049,2026-01-09,Face Mask Pack,Beauty & Personal Care,2,1307.86,719.13,10,South,Credit Card
TXN-0066,2026-01-09,Storage Container Set,Home & Kitchen,1,2245.83,1286.58,0,North,Net Banking
TXN-0050,2026-01-09,Non-Stick Pan,Home & Kitchen,1,1129.14,599.96,0,West,Credit Card
TXN-0203,2026-01-09,Mechanical Keyboard,Electronics,1,4798.31,3947.87,20,South,Cash
TXN-0159,2026-01-09,Mechanical Keyboard,Electronics,1,10988.86,7286.51,15,West,UPI
TXN-0225,2026-01-10,USB-C Hub,Electronics,2,14787.52,11525.28,0,South,Net Banking
TXN-0189,2026-01-10,Shampoo 500ml,Beauty & Personal Care,1,857.97,387.66,5,West,Credit Card
TXN-0218,2026-01-10,Gaming Mouse,Electronics,1,5593.18,4106.53,0,West,UPI
TXN-0210,2026-01-10,Bluetooth Speaker,Electronics,1,10682.06,9389.03,10,North,Credit Card
TXN-0033,2026-01-10,Face Wash,Beauty & Personal Care,2,1294.7,844.38,5,West,Cash
TXN-0134,2026-01-10,Gaming Mouse,Electronics,2,15128.52,11264.63,0,North,Credit Card
TXN-0170,2026-01-11,Cricket Bat,Sports & Fitness,1,3023.38,2026.83,0,West,Credit Card
TXN-0186,2026-01-11,Hair Serum,Beauty & Personal Care,3,159.21,75.37,0,South,UPI
TXN-0114,2026-01-11,Portable Monitor,Electronics,1,9031.84,6764.49,0,South,UPI
TXN-0001,2026-01-11,Self-Help Book,Books & Stationery,1,722.75,579.34,0,West,Debit Card
TXN-0036,2026-01-11,Linen Shirt,Clothing,1,3066.25,2069.49,0,North,Credit Card
TXN-0082,2026-01-11,Sketch Pad,Books & Stationery,1,180.43,184.68,0,North,Cash
TXN-0009,2026-01-11,Cotton T-Shirt,Clothing,1,447.47,278.76,0,North,Debit Card
TXN-0045,2026-01-11,Formal Shirt,Clothing,2,2942.98,1654.6,5,North,UPI
TXN-0201,2026-01-12,Winter Jacket,Clothing,5,1636.88,1152.81,20,North,Debit Card
TXN-0088,2026-01-12,Cushion Covers,Home & Kitchen,4,1381.56,960.65,15,South,Net Banking
TXN-0156,2026-01-12,Beard Oil,Beauty & Personal Care,2,1374.56,613.74,0,West,UPI
TXN-0044,2026-01-12,Mechanical Keyboard,Electronics,2,15151.62,10391.83,10,South,Debit Card
TXN-0197,2026-01-12,Portable Monitor,Electronics,2,10179.77,8149.41,5,North,Credit Card
TXN-0171,2026-01-12,Linen Shirt,Clothing,1,2474.11,1747.4,5,East,UPI
TXN-0174,2026-01-12,Webcam HD,Electronics,1,3535.16,3167.82,5,North,Net Banking
TXN-0079,2026-01-12,Track Pants,Clothing,2,964.08,559.95,0,North,UPI
TXN-0228,2026-01-12,Cushion Covers,Home & Kitchen,2,1515.48,829.57,10,North,UPI
TXN-0200,2026-01-12,Phone Stand,Electronics,2,2268.48,1811.15,0,West,Credit Card
TXN-0143,2026-01-12,USB-C Hub,Electronics,2,12100.33,10607.09,15,North,UPI
TXN-0141,2026-01-13,Hair Serum,Beauty & Personal Care,1,1321.02,811.3,0,West,Debit Card
TXN-0128,2026-01-13,Cotton T-Shirt,Clothing,2,2068.04,1140.53,0,East,UPI
TXN-0133,2026-01-13,Hair Serum,Beauty & Personal Care,3,943.55,336.08,5,West,Debit Card
TXN-0124,2026-01-13,Chopping Board,Home & Kitchen,1,935.59,611.1,25,East,UPI
TXN-0097,2026-01-13,Kurta Set,Clothing,4,1641.64,1003.7,0,North,UPI
TXN-0168,2026-01-13,Pen Set Premium,Books & Stationery,1,289.03,177.55,15,South,UPI
TXN-0144,2026-01-13,Non-Stick Pan,Home & Kitchen,1,1788.57,1368.7,0,East,UPI
TXN-0183,2026-01-14,Chopping Board,Home & Kitchen,1,1275.44,933.39,5,East,Cash
TXN-0221,2026-01-14,Hair Serum,Beauty & Personal Care,2,165.35,60.39,0,West,Net Banking
TXN-0162,2026-01-14,Mechanical Keyboard,Electronics,2,10683.47,8446.29,0,South,UPI
TXN-0206,2026-01-14,Cargo Pants,Clothing,1,1398.84,1039.52,0,West,Debit Card
TXN-0205,2026-01-14,Non-Stick Pan,Home & Kitchen,1,569.01,315.67,15,West,Cash
TXN-0160,2026-01-15,Bedsheet Set,Home & Kitchen,2,2820.8,1454.95,10,West,UPI
TXN-0039,2026-01-15,Mechanical Keyboard,Electronics,1,7309.38,5365.85,20,North,Credit Card
TXN-0037,2026-01-15,Skipping Rope,Sports & Fitness,2,4832.21,3444.5,0,East,UPI
TXN-0153,2026-01-15,Chopping Board,Home & Kitchen,4,1057.96,556.96,0,South,UPI
TXN-0130,2026-01-15,Wireless Earbuds,Electronics,2,6908.35,5460.59,15,South,UPI
TXN-0229,2026-01-15,Yoga Mat,Sports & Fitness,1,4698.46,3932.84,0,North,Net Banking
TXN-0219,2026-01-15,Moisturizer,Beauty & Personal Care,3,1009.22,473.55,5,West,Credit Card
TXN-0075,2026-01-15,Bluetooth Speaker,Electronics,1,2755.98,2289.87,0,East,UPI
TXN-0024,2026-01-16,Sketch Pad,Books & Stationery,1,819.33,641.9,0,West,Cash
TXN-0150,2026-01-16,Smart Watch,Electronics,1,15252.13,13409.89,20,West,Net Banking
TXN-0207,2026-01-16,Face Wash,Beauty & Personal Care,2,796.13,469.87,0,East,UPI
TXN-0026,2026-01-16,Notebook Set,Books & Stationery,1,103.05,105.07,5,West,UPI
TXN-0007,2026-01-16,Bluetooth Speaker,Electronics,3,12581.02,8383.18,5,South,Credit Card
TXN-0106,2026-01-17,Bedsheet Set,Home & Kitchen,1,1057.62,619.54,0,South,Credit Card
TXN-0018,2026-01-17,Mechanical Keyboard,Electronics,1,8357.18,7009.69,0,West,Credit Card
TXN-0105,2026-01-17,Mechanical Keyboard,Electronics,1,7286.19,5129.91,0,North,Credit Card
TXN-0135,2026-01-17,Phone Stand,Electronics,1,12648.68,10441.06,25,South,Credit Card
TXN-0193,2026-01-17,Track Pants,Clothing,3,919.84,486.54,0,North,UPI
TXN-0041,2026-01-17,Smart Watch,Electronics,1,12318.26,11284.93,0,South,Net Banking
TXN-0017,2026-01-17,Polo T-Shirt,Clothing,1,3322.02,2169.41,10,North,UPI
TXN-0227,2026-01-17,Wireless Earbuds,Electronics,2,10615.32,8946.65,15,North,Credit Card
TXN-0085,2026-01-17,Track Pants,Clothing,1,978.84,639.08,0,South,Debit Card
TXN-0057,2026-01-17,Shampoo 500ml,Beauty & Personal Care,4,1156.16,573.25,0,North,Credit Card
TXN-0223,2026-01-18,Wireless Earbuds,Electronics,2,5289.76,3767.95,0,North,UPI
TXN-0192,2026-01-18,Hoodie,Clothing,1,1250.9,629.47,5,East,UPI
TXN-0110,2026-01-18,Moisturizer,Beauty & Personal Care,1,1423.95,926.45,0,North,UPI
TXN-0185,2026-01-18,Wall Clock,Home & Kitchen,2,1716.41,1060.1,10,East,Credit Card
TXN-0131,2026-01-18,Hoodie,Clothing,1,2685.51,1821.76,0,North,UPI
TXN-0048,2026-01-18,Storage Container Set,Home & Kitchen,5,2313.19,1290.64,0,North,Credit Card
TXN-0107,2026-01-19,Wireless Earbuds,Electronics,2,5881.31,5290.91,0,East,Credit Card
TXN-0035,2026-01-19,Shampoo 500ml,Beauty & Personal Care,1,186.28,92.66,5,South,Credit Card
TXN-0181,2026-01-19,Skipping Rope,Sports & Fitness,2,3403.45,2068.09,10,West,Credit Card
TXN-0055,2026-01-19,Shampoo 500ml,Beauty & Personal Care,1,1374.39,677.35,10,East,Credit Card
TXN-0212,2026-01-20,Wireless Earbuds,Electronics,2,8542.22,5560.06,5,North,Debit Card
TXN-0101,2026-01-20,Track Pants,Clothing,1,1438.11,732.21,0,South,Net Banking
TXN-0025,2026-01-20,Cotton T-Shirt,Clothing,1,2389.3,1731.66,15,East,Credit Card
TXN-0147,2026-01-20,Bluetooth Speaker,Electronics,1,15849.26,11688.29,5,East,UPI
TXN-0226,2026-01-20,Portable Monitor,Electronics,1,6514.09,5025.46,0,North,UPI
TXN-0182,2026-01-21,Winter Jacket,Clothing,1,416.85,272.05,0,South,Credit Card
TXN-0123,2026-01-21,Yoga Mat,Sports & Fitness,3,1087.64,747.68,10,East,Debit Card
TXN-0217,2026-01-21,Denim Jeans,Clothing,1,1874.66,1194.6,0,West,UPI
TXN-0216,2026-01-21,LED Desk Lamp,Home & Kitchen,1,980.09,594.1,0,South,UPI
TXN-0215,2026-01-21,Mechanical Keyboard,Electronics,2,10207.01,8498.92,5,West,Net Banking
TXN-0125,2026-01-21,Non-Stick Pan,Home & Kitchen,3,745.58,469.43,0,East,UPI
TXN-0224,2026-01-21,Cargo Pants,Clothing,1,2395.1,1415.29,25,North,Credit Card
TXN-0154,2026-01-22,Power Bank 20000mAh,Electronics,1,7339.65,6355.1,0,South,Credit Card
TXN-0099,2026-01-22,Cricket Bat,Sports & Fitness,2,3111.23,2248.68,20,West,UPI
TXN-0058,2026-01-22,Linen Shirt,Clothing,1,436.68,200.45,15,West,Net Banking
TXN-0020,2026-01-22,Dumbbells 5kg,Sports & Fitness,1,1361.37,829.15,25,South,UPI
TXN-0204,2026-01-22,Linen Shirt,Clothing,3,2260.84,1345.87,0,South,Credit Card
TXN-0146,2026-01-22,Resistance Bands,Sports & Fitness,2,4746.03,3797.24,10,South,Debit Card
TXN-0190,2026-01-23,Webcam HD,Electronics,2,9162.44,8322.05,20,East,Credit Card
TXN-0032,2026-01-23,Pen Set Premium,Books & Stationery,1,843.01,897.63,5,North,Credit Card
TXN-0091,2026-01-23,Football,Sports & Fitness,1,2306.85,1699.96,0,South,Credit Card
TXN-0113,2026-01-23,Highlighter Set,Books & Stationery,1,722.81,753.8,25,West,Credit Card
TXN-0108,2026-01-23,Bluetooth Speaker,Electronics,1,13977.31,11319.44,0,East,UPI
TXN-0100,2026-01-23,Phone Stand,Electronics,4,13550.25,12010.14,15,North,Debit Card
TXN-0172,2026-01-24,Portable Monitor,Electronics,1,10003.18,8239.44,10,West,Credit Card
TXN-0060,2026-01-24,Notebook Set,Books & Stationery,1,831.2,515.88,0,East,UPI
TXN-0070,2026-01-24,Wall Clock,Home & Kitchen,1,1452.06,767.78,0,West,UPI
TXN-0109,2026-01-24,USB-C Hub,Electronics,1,3512.88,2612.73,0,East,Cash
TXN-0195,2026-01-24,Dumbbells 5kg,Sports & Fitness,2,2324.04,1664.62,0,North,UPI
TXN-0043,2026-01-24,Bedsheet Set,Home & Kitchen,4,966.46,768.73,0,East,UPI
TXN-0098,2026-01-24,Polo T-Shirt,Clothing,1,3102.58,1459.34,5,North,Debit Card
TXN-0081,2026-01-24,Bedsheet Set,Home & Kitchen,2,1029.38,711.38,5,South,UPI
TXN-0175,2026-01-24,Self-Help Book,Books & Stationery,5,112.9,105.95,5,South,Credit Card
TXN-0230,2026-01-24,Wall Clock,Home & Kitchen,1,2560.93,1485.75,5,East,UPI
TXN-0030,2026-01-24,Highlighter Set,Books & Stationery,1,862.14,553.98,0,South,Credit Card
TXN-0220,2026-01-25,Lip Balm Set,Beauty & Personal Care,2,1144.54,595.99,0,East,Debit Card
TXN-0116,2026-01-25,Kurta Set,Clothing,1,2971.2,2044.4,0,North,Debit Card
TXN-0014,2026-01-25,Mechanical Keyboard,Electronics,4,5203.22,4560.47,10,North,Credit Card
TXN-0169,2026-01-25,Polo T-Shirt,Clothing,1,2195.19,1210.02,5,West,UPI
TXN-0194,2026-01-25,Mechanical Keyboard,Electronics,1,9108.8,7809.65,5,West,UPI
TXN-0072,2026-01-25,Bedsheet Set,Home & Kitchen,1,1153.07,703.35,0,South,Credit Card
TXN-0142,2026-01-25,Cricket Bat,Sports & Fitness,3,3554.16,2819.28,25,North,Cash
TXN-0051,2026-01-25,Planner 2024,Books & Stationery,1,557.75,437.32,0,South,UPI
TXN-0188,2026-01-25,Bedsheet Set,Home & Kitchen,1,1927.42,1127.84,0,South,UPI
TXN-0184,2026-01-26,Storage Container Set,Home & Kitchen,1,2623.17,1690.04,0,North,UPI
TXN-0117,2026-01-26,Cargo Pants,Clothing,2,1931.25,1116.29,0,South,Credit Card
TXN-0158,2026-01-26,Cotton T-Shirt,Clothing,1,2954.99,1899.05,25,East,Cash
TXN-0077,2026-01-26,Kurta Set,Clothing,1,1130.96,590.38,10,North,UPI
TXN-0103,2026-01-26,Cushion Covers,Home & Kitchen,2,342.17,241.76,0,North,Debit Card
TXN-0008,2026-01-26,Cushion Covers,Home & Kitchen,1,1143.66,781.57,15,West,Debit Card
TXN-0052,2026-01-26,Notebook Set,Books & Stationery,5,189.77,120.42,25,South,Cash
TXN-0056,2026-01-26,Linen Shirt,Clothing,1,1422.78,881.65,0,East,Cash
TXN-0046,2026-01-26,Bluetooth Speaker,Electronics,1,1391.24,1047.7,5,East,UPI
TXN-0231,2026-01-26,Mechanical Keyboard,Electronics,1,9572.03,6539.35,0,North,UPI
TXN-0127,2026-01-26,LED Desk Lamp,Home & Kitchen,3,1790.86,1174.23,0,East,UPI
TXN-0012,2026-01-26,Resistance Bands,Sports & Fitness,1,1331.73,1029.67,10,North,UPI
TXN-0178,2026-01-27,Resistance Bands,Sports & Fitness,3,1370.91,823.56,10,West,Debit Card
TXN-0094,2026-01-27,Dumbbells 5kg,Sports & Fitness,1,3769.94,3166.52,10,East,UPI
TXN-0152,2026-01-27,Polo T-Shirt,Clothing,1,892.66,614.94,0,West,Cash
TXN-0073,2026-01-27,Polo T-Shirt,Clothing,1,957.21,517.9,15,East,UPI
TXN-0102,2026-01-27,Denim Jeans,Clothing,1,1889.59,896.54,0,North,UPI
TXN-0028,2026-01-27,Cushion Covers,Home & Kitchen,1,919.97,467.43,15,South,Credit Card
TXN-0187,2026-01-27,LED Desk Lamp,Home & Kitchen,1,527.91,345.38,0,West,Credit Card
TXN-0137,2026-01-27,Non-Stick Pan,Home & Kitchen,1,2710.03,1468.73,0,North,Cash
TXN-0068,2026-01-27,Dumbbells 5kg,Sports & Fitness,4,1676.33,1014.32,0,South,UPI
TXN-0064,2026-01-27,Face Mask Pack,Beauty & Personal Care,2,1479.14,840.36,0,West,Cash
TXN-0122,2026-01-27,Smart Watch,Electronics,1,4935.61,3754.21,0,West,Cash
TXN-0126,2026-01-27,Mechanical Keyboard,Electronics,1,12888.2,9264.46,0,West,UPI
TXN-0071,2026-01-28,Non-Stick Pan,Home & Kitchen,4,2860.18,2161.95,0,North,UPI
TXN-0038,2026-01-28,Bluetooth Speaker,Electronics,2,8646.77,7201.05,0,East,UPI
TXN-0139,2026-01-28,Track Pants,Clothing,4,550.23,324.76,0,North,Cash
TXN-0165,2026-01-28,Sports Shoes,Sports & Fitness,2,4260.98,2818.09,10,North,Cash
TXN-0176,2026-01-28,Skipping Rope,Sports & Fitness,1,802.56,650.22,20,East,Net Banking
TXN-0161,2026-01-28,Moisturizer,Beauty & Personal Care,1,955.59,406.76,0,East,UPI
TXN-0023,2026-01-28,Phone Stand,Electronics,2,4719.71,3501.1,5,North,Net Banking
TXN-0002,2026-01-28,Gym Gloves,Sports & Fitness,4,469.78,297.56,0,North,UPI
TXN-0003,2026-01-28,Water Bottle 1L,Home & Kitchen,1,312.42,200.75,0,South,Credit Card
TXN-0179,2026-01-28,Dumbbells 5kg,Sports & Fitness,2,4715.2,2838.31,5,North,Debit Card
TXN-0005,2026-01-28,Planner 2024,Books & Stationery,1,549.63,498.67,0,South,UPI
TXN-0069,2026-01-28,USB-C Hub,Electronics,1,10227.71,7465.19,0,West,Debit Card
TXN-0209,2026-01-28,Chopping Board,Home & Kitchen,4,584.6,363.45,15,West,UPI
TXN-0255,2026-02-01,Yoga Mat,Sports & Fitness,1,329.4,273.55,20,South,Cash
TXN-0385,2026-02-01,Cargo Pants,Clothing,1,1038.27,529.61,15,West,Debit Card
TXN-0340,2026-02-01,Formal Shirt,Clothing,1,912.82,562.61,0,North,Net Banking
TXN-0289,2026-02-01,Beard Oil,Beauty & Personal Care,1,340.89,237.23,0,North,Credit Card
TXN-0343,2026-02-02,Lip Balm Set,Beauty & Personal Care,4,1374.66,508.22,0,West,Credit Card
TXN-0250,2026-02-02,Cricket Bat,Sports & Fitness,1,1403.64,834.91,0,South,Credit Card
TXN-0370,2026-02-02,Wireless Earbuds,Electronics,2,5142.53,4130.24,0,North,Credit Card
TXN-0372,2026-02-02,Linen Shirt,Clothing,1,3234.67,2414.86,25,West,UPI
TXN-0382,2026-02-02,Cricket Bat,Sports & Fitness,1,340.62,253.15,0,North,Credit Card
TXN-0287,2026-02-02,Formal Shirt,Clothing,2,1498.79,700.66,5,West,Credit Card
TXN-0375,2026-02-02,Self-Help Book,Books & Stationery,1,443.3,333.41,0,North,UPI
TXN-0241,2026-02-03,Cargo Pants,Clothing,1,3344.97,2305.08,25,North,UPI
TXN-0261,2026-02-03,Kurta Set,Clothing,1,3436.33,1900.84,5,South,Debit Card
TXN-0353,2026-02-03,Winter Jacket,Clothing,1,500.71,279.99,0,South,Credit Card
TXN-0263,2026-02-03,Denim Jeans,Clothing,1,2946.07,1803.64,0,West,Credit Card
TXN-0291,2026-02-03,Winter Jacket,Clothing,1,2080.86,1022.7,0,South,Credit Card
TXN-0267,2026-02-03,Formal Shirt,Clothing,1,2550.87,1520.84,0,East,Credit Card
TXN-0366,2026-02-03,Storage Container Set,Home & Kitchen,3,1637.19,956.88,0,West,UPI
TXN-0280,2026-02-03,Phone Stand,Electronics,1,15566.3,12928.38,0,South,Credit Card
TXN-0242,2026-02-03,Lip Balm Set,Beauty & Personal Care,2,1090.86,408.67,0,South,Cash
TXN-0269,2026-02-03,Bluetooth Speaker,Electronics,3,7594.24,6042.76,0,South,Cash
TXN-0317,2026-02-04,Bedsheet Set,Home & Kitchen,2,2212.37,1223.97,5,North,Cash
TXN-0292,2026-02-04,Cricket Bat,Sports & Fitness,1,1729.56,1168.04,5,South,Credit Card
TXN-0273,2026-02-04,Track Pants,Clothing,2,1320.44,871.52,0,West,Cash
TXN-0327,2026-02-04,Gym Gloves,Sports & Fitness,2,3294.2,2409.58,0,North,UPI
TXN-0259,2026-02-04,Wall Clock,Home & Kitchen,2,755.62,401.84,0,West,Net Banking
TXN-0376,2026-02-04,Self-Help Book,Books & Stationery,2,639.82,477.74,0,North,UPI
TXN-0354,2026-02-04,Face Mask Pack,Beauty & Personal Care,2,213.32,95.06,0,North,Cash
TXN-0238,2026-02-04,Webcam HD,Electronics,5,11369.32,8170.0,0,South,Credit Card
TXN-0246,2026-02-04,Webcam HD,Electronics,1,7318.08,5063.43,0,North,UPI
TXN-0310,2026-02-05,Highlighter Set,Books & Stationery,2,110.45,80.75,10,North,Net Banking
TXN-0297,2026-02-05,USB-C Hub,Electronics,1,5195.52,3517.25,20,South,Credit Card
TXN-0295,2026-02-05,Face Mask Pack,Beauty & Personal Care,2,1482.85,802.37,0,North,Net Banking
TXN-0262,2026-02-06,Beard Oil,Beauty & Personal Care,1,660.69,237.38,0,South,Debit Card
TXN-0294,2026-02-06,Formal Shirt,Clothing,1,1454.87,1059.85,0,West,Credit Card
TXN-0331,2026-02-06,Webcam HD,Electronics,2,1056.6,752.36,0,South,UPI
TXN-0277,2026-02-06,Cargo Pants,Clothing,1,1455.53,1019.68,20,East,Debit Card
TXN-0351,2026-02-07,Formal Shirt,Clothing,2,1724.26,1124.39,0,West,Net Banking
TXN-0300,2026-02-07,Resistance Bands,Sports & Fitness,1,475.71,355.48,25,South,UPI
TXN-0381,2026-02-07,Non-Stick Pan,Home & Kitchen,2,1752.91,1049.64,0,North,Cash
TXN-0373,2026-02-07,Track Pants,Clothing,1,987.43,568.11,0,North,UPI
TXN-0245,2026-02-07,Skipping Rope,Sports & Fitness,1,263.33,201.49,0,North,Net Banking
TXN-0316,2026-02-08,Cricket Bat,Sports & Fitness,1,4464.56,3121.06,5,South,Debit Card
TXN-0307,2026-02-08,Notebook Set,Books & Stationery,2,146.58,161.01,0,North,Cash
TXN-0333,2026-02-08,Hair Serum,Beauty & Personal Care,2,180.85,69.72,10,North,UPI
TXN-0272,2026-02-09,Water Bottle 1L,Home & Kitchen,1,558.6,328.96,0,North,Credit Card
